初等部の初等部の学生。	初中部的學生
「正直、心当たりもいくつかあって……」	「有一說一、我也心裡有數了……」
「それに%CNAME("二人称")%となら、えっちなことをしてもいいかなって」	「而且和%CNAME("二人称")%的話、也不是不行
「きっとこのままだと、%CNAME("一人称")%が%CNAME("一人称")%じゃなくなっちゃうだろうから……」	「若繼續這樣、%CNAME("一人称")%可能就變得不是%CNAME("一人称")%了……」
「だから%CNAME("二人称")%、お願いします」	「所以%CNAME("二人称")%、請多指教」
「%CNAME("一人称")%にえっちなことを、教えてください……」	「請教會%CNAME("一人称")%、H的事情……」
%CALLNAME:MASTER%は%CALLNAME:TARGET%の頭をやさしく撫でてあげると、震えている身体をそっと抱き寄せた……	%CALLNAME:MASTER%溫柔地撫摸%CALLNAME:TARGET%的頭、將顫抖的身体輕輕抱住……
%CALLNAME:TARGET%の秘部を見つめた…	看見%CALLNAME:TARGET%的小穴了…
パンツをずらして%CALLNAME:TARGET%の秘部を曝け出した…	撥開胖次，%CALLNAME:TARGET%的小穴露出來了…
まだ毛も生えないその場所は白磁のようにつるんとしており、	還沒長毛的小穴如同磁磚一樣潔白、
芸術のような曲線美で一本のすじが描かれている…	如同藝術品的身體曲線…
「あの…%CNAME("二人称")%……？そ、そんなにじっと見られると、その…うぅ……」	「%CNAME("二人称")%……？不……不要這樣看我啦」
柔らかな饅頭を形を崩さずに割るように%CALLNAME:TARGET%の秘裂を割り広げると、		把%CALLNAME:TARGET%的柔軟如饅頭般的陰唇給張開、
淡いピンク色の成熟しきっていない幼い粘膜が露になった…	露出了淡粉色而尚未成熟的黏膜…
少しずつ愛液が垂れ流れてきている…	少許愛液流了出來…
「はっ…はぁ…はっ……」	「啊…啊…啊……」
ふと%CALLNAME:TARGET%の様子を伺うと、恥ずかしさからか両手で顔を覆いながら呼吸を早めていた	我突然詢問了%CALLNAME:TARGET%的狀況，她用手遮住了臉，而她的呼吸越來越快
%CALLNAME:TARGET%の呼吸が荒くなるにつれ分泌される愛液の量も増え、誘うような甘い香りが濃くなっていく…		%CALLNAME:TARGET%的呼吸變得急促，愛液分泌的量也增加，誘惑的甜香味變得濃郁…
%CALLNAME:MASTER%は愛液を舐め取るように、舌を伸ばして%CALLNAME:TARGET%の秘裂を下から上までなぞり上げると		%CALLNAME:MASTER%為了嘗嘗蜜汁的味道、而反覆的用舌頭去舔%CALLNAME:TARGET%的秘裂
硬さのある突起に触れたところで、鈴は大きく腰を震わせた…	觸摸堅硬的突起後、鈴的腰大幅度地抖動…
未知の快楽から逃れようと、弱々しく抵抗してくる%CALLNAME:TARGET%にかまわず	不理會因想逃離未知的快樂而進行微弱的抵抗的%CALLNAME:TARGET%
あなたは溢れてくる蜜の味を確かめるように、繰り返し舌で掬い上げた…	你為了嘗嘗蜜汁的味道、而反覆的用舌頭去舔…
%CALLNAME:MASTER%は%CALLNAME:TARGET%の小さな胸の中で激しく主張している突起に目が行った	%CALLNAME:MASTER%看上了%CALLNAME:TARGET%的小小的胸上的突起
誘われるように%CALLNAME:TARGET%の乳首を口に含むと、コロコロと舐め回してみた…	把%CALLNAME:TARGET%像是要誘惑人的乳頭含住、來回舔了舔…
「%CNAME("一人称", "どもり")%のおっぱいなんて、吸ってもたのしくないと思うんですけど……」	「%CNAME("一人称", "どもり")%小小的胸部、你還滿意嗎……」
%CALLNAME:MASTER%は%CALLNAME:TARGET%の胸に触れてみると、なだらかな起伏の中には違和感のある突起を見つけた		%CALLNAME:MASTER%摸了摸%CALLNAME:TARGET%の的胸、平穩的起伏中有個違和感的突起
確かめるように触ってみるが、胸の大きさにしては乳首が大きいような気がする…	摸了摸、這乳頭的大小跟胸部也差太多了吧…
「や、つままないでください…うぅ……」	「別…別捏啊…」
%CALLNAME:MASTER%は%CALLNAME:TARGET%を抱き寄せて、至近距離で向かい合った…	%CALLNAME:MASTER%將%CALLNAME:TARGET%抱緊、面對了對方…
「あ……」	「啊……」
「ふつうにキスするのははじめてですね……」	「正常的接吻、我是第一次……」
「んっ…、ちゅ……、んぅ……」	「嗯…、啾……、嗯……」
「ぷぁ……、ふぅ……」	「哈……、呼……」
唇と唇の橋が架かり、その橋が落ちて二人の視線が下がる…	嘴唇之間的橋樑、那橋掉落後二人的視線低下了…
「つぎは…下でするんですか……？」	「接下來…要用下面來做嗎……？」
「あ、いや、なんでもないです……」	「啊、沒、沒什麼……」
%CALLNAME:MASTER%は%CALLNAME:TARGET%を抱き寄せると、頭を撫でながら優しく口付けをした…	%CALLNAME:MASTER%將%CALLNAME:TARGET%抱緊、一邊摸著頭一邊輕吻…
「ぷはぁ、はぁ…ふぅ……」	「哈…哈…呼…」
「あまりよくわからないですけど…なんとなく%CNAME("二人称")%のやさしさが伝わってきます……」	「雖然不大明白…但是%CNAME("二人称")%的溫柔已經傳達給我了……」
%CALLNAME:MASTER%は%CALLNAME:TARGET%の股間に手を滑り込ませ、性器の形を確かめるように撫でまわした	%CALLNAME:MASTER%摸了摸%CALLNAME:TARGET%的股間、像是要確認性器形狀一樣
ツルツルで肌触りがよく、ぷにぷにで気持ちが良い触感だ…	良好的肌膚觸感、真棒…
「あ…や、やだ…う、うぅ……」	「啊…不、不要…嗯……」
恥ずかしさからか%CALLNAME:TARGET%は性器を触られている腕をギュっと掴み、足を閉じて抵抗していたが	也許由於羞恥，%CALLNAME:TARGET%抓住了撫摸性器的手臂，並合起雙腿以抵抗。
%CALLNAME:MASTER%は気に留めずに触り続けると、次第に触感はヌルヌルへ変化していき	繼續觸摸%CALLNAME:TARGET%，逐漸變為粘糊糊的感覺。
新たなコリコリな触感も見つけ、気の赴くままに触り心地を楽しんだ…	發現了新的触感、我喜歡…
%CALLNAME:TARGET%ぐらいの年齢だと、きっと初潮前でコンドームは必要無いだろうが	%CALLNAME:TARGET%的年齡、在初潮來之前應該不用避孕套吧
もしかしたら早熟で既に初潮を迎えているかもしれない…	也許會因為早熟而迎來初潮…
%CALLNAME:TARGET%の気持ちの事もあるので、%CALLNAME:TARGET%にゴムの有無を聞いたほうがいいだろう。	為了照顧%CALLNAME:TARGET%的想法、我詢問了%CALLNAME:TARGET%的想法。
「え、ゴ、ゴム…ですか……？」	「避、避孕套…嗎……？」
「えっと、その…%CNAME("一人称", "どもり")%は…まだ……」	「嗯、那個…%CNAME("一人称", "どもり")%我…還沒來……」
「……」	「……」
%CALLNAME:TARGET%は言葉の途中で何かを思いついたようで、	%CALLNAME:TARGET%在說話的途中、似乎在想些什麼
しばらく何かを考えた後、頬を染めながら白々しく口を開いた…	稍微思考後、一邊臉紅著說道…
%CALLNAME:MASTER%は%CALLNAME:TARGET%の眼前にペニスを突き出すと、%CALLNAME:TARGET%は戸惑いの表情を見せた…	%CALLNAME:MASTER%在%CALLNAME:TARGET%的眼前釋放出陰莖、%CALLNAME:TARGET%用疑惑的表情看著…
「あの、%CNAME("二人称")%…%CNAME("一人称")%は普通のキスをしたことがないです……」	「那個、%CNAME("二人称")%…%CNAME("一人称")%只做過普通的接吻而已……」
「それでもいいんですか……？」	「這樣也無所謂嗎……？」
「鈴は…%CNAME("二人称")%がいいというなら……」	「如果%CNAME("二人称")%說可以的話……」
%CALLNAME:MASTER%は自分のファーストキスを%CALLNAME:TARGET%の膣口に捧げていたことを%CALLNAME:TARGET%に話した…	向%CALLNAME:TARGET%說了%CALLNAME:MASTER%將自己的初吻獻給了%CALLNAME:TARGET%的小穴口這件事…
「……え？」	「……什麼？」
「お、%CNAME("二人称")%は…あれが初めてだったんですか……？」	「那、那是%CNAME("二人称")%的第一次嗎？」
「……」	「……」
「そ、そうなんですか……」	「是、是這樣啊……」
%CALLNAME:TARGET%は微妙そうな顔をしていたが、"%CALLNAME:MASTER%の初めて"を思い返したのか仄かに頬を染めると…	雖然%CALLNAME:TARGET%露出了微妙的表情、但"%CALLNAME:MASTER%的第一次"是自己的、不經紅了臉…
「んっ……」	「嗯……」
「こ、これで…おあいこですね……」	「這、這就…平手了吧……」
愛おしむかのように、あなたのペニスの鈴口に優しく口付けをした…	她充滿愛意的、輕吻了你的龜頭…
%CALLNAME:MASTER%は%CALLNAME:TARGET%の頭を撫でながら「ごめんね」と謝り、そっと肩を抱き寄せて優しくキスをした…	%CALLNAME:MASTER%一邊撫摸%CALLNAME:TARGET%的頭一邊說著「抱歉」、抱住了她並輕吻…
「%CNAME("二人称")%、ありがとうです……」	「%CNAME("二人称")%、謝謝……」
「%CNAME("一人称")%は、%CNAME("二人称")%みたいなやさしい人が"はじめて"で、とってもうれしいです……」	「%CNAME("一人称")%從來沒有遇過像%CNAME("二人称")%那麼溫柔的人、我真的很高興……」
%CALLNAME:MASTER%は%CALLNAME:TARGET%が嫌じゃないならしてほしいとお願いした…	%CALLNAME:MASTER%不嫌棄%CALLNAME:TARGET%的話、請做吧…
「わ、わかりました…%CNAME("二人称")%がそういうなら……」	「我、我知道了…%CNAME("二人称")%這麼說的話……」
%CALLNAME:TARGET%は%CALLNAME:MASTER%のペニスを見据えた後、緊張で震えながらも少しずつ%CALLNAME:MASTER%のペニスに近づいていき…	%CALLNAME:TARGET%看完%CALLNAME:MASTER%的陰莖後、一邊緊張地顫抖、一邊接近了%CALLNAME:MASTER%的陰莖…
「んっ……」	「嗯……」
%CALLNAME:MASTER%のペニスに初めてのキスを捧げた…	向%CALLNAME:MASTER%的陰莖獻上了初吻…
%CALLNAME:TARGET%の頭を撫でてあげると、何も言わなくとも%CALLNAME:TARGET%はペニスを深く咥えこみ	摸摸%CALLNAME:TARGET%的頭、%CALLNAME:TARGET%什麼都不說、深深含住了陰莖
%CALLNAME:MASTER%を喜ばせようと、拙い動作でペニスをしゃぶりはじめた…	為了取悅%CALLNAME:MASTER%、開始用那拙劣的技巧吸吮陰莖…
%CALLNAME:MASTER%が%TEXTR("目配せすると/お願いすると/何も言わなくても")%%CALLNAME:TARGET%は%CALLNAME:MASTER%の股間の前で跪き、%CALLNAME:MASTER%のペニスをじっと見つめた…	%CALLNAME:MASTER%が%TEXTR("目配せすると/お願いすると/何も言わなくても")%%CALLNAME:TARGET%在%CALLNAME:MASTER%的股間前跪下、注視著%CALLNAME:MASTER%的陰莖…
%CALLNAME:TARGET%は%TEXTR("瞳を閉じる/深呼吸する")%と、%CALLNAME:MASTER%のペニスの%TEXTR("先端/鈴口")%にそっと%TEXTR("口付けをし/唇を合わせ")%た…	%CALLNAME:TARGET%は%TEXTR("閉上眼睛/做深呼吸")%後、向%CALLNAME:MASTER%的陰莖的%TEXTR("前端/龜頭")%輕輕地%TEXTR("輕吻/合上嘴唇")%…
%CALLNAME:MASTER%は%CALLNAME:TARGET%の未発達な体を探るように触れてみた	%CALLNAME:MASTER%把%CALLNAME:TARGET%的未成熟的身体全身摸了一遍
%CALLNAME:TARGET%の肌は若々しくすべすべで、とても撫で心地が良い…	%CALLNAME:TARGET%的皮膚滑溜溜的，真好摸…
「ちょっとくすぐったい、です……」	「好癢啦……」
「あ、あの…%CNAME("二人称")%……ゴム？って…何ですか？……	「那、那個…%CNAME("二人称")%……避孕套？是…是什麼啊？……
「え！？な、何してるんですか、そんなとこなめたら…きたなひぃっ！_BHH_」	「诶！？你、你在做什麼啊、這種舔法…要去啦！_BHH_」
「や、やだ…んぅっ！_BHH_  や、やめ…んっ_BHH_  やめてくうぅっ！_BHH_  や、やぁあっ！_BHH_」_W	「不、不要…啊！_BHH_  別、別這樣…啊_BHH_  停下來啊！_BHH_  不、不要！_BHH_」_W
「あっ…あっ_BHH_  %CNAME("二人称", "どもり")%…ぅ、あ、あぁっ_BHH_」	「啊…啊_BHH_  %CNAME("二人称", "どもり")%…、啊、啊啊_BHH_」
「%CNAME("二人称")%のおちんちんさん…、%TEXTR("今日もよろしくです/いつもありがとうです/おいしそうです")%……_BHH_  んっ…」_W	「%CNAME("二人称")%的雞巴…、%TEXTR("今天也請多多指教/平常受你照顧了/好像很美味")%……_BHH_  んっ…」_W
%CALLNAME:MASTER%は不意に%CALLNAME:TARGET%を抱き寄せて、優しく口付けをした…	%CALLNAME:MASTER%突然抱住%CALLNAME:TARGET%並輕吻了%CALLNAME:TARGET%…
「んっ！…ぷはぁ……」	「呀！…哈……」
「ひどいです、%CNAME("二人称")%…」	「太過分了、%CNAME("二人称")%…」
「どうせしてくれるなら、おちんちんより…先にしてほしかったです……」	「比起雞巴…我更希望初吻是你的嘴唇……」
もはや%CALLNAME:TARGET%は抵抗というより、縋るように%CALLNAME:MASTER%の腕を抱きしめている…	%CALLNAME:TARGET%不再抵抗，而是緊緊抓住著%CALLNAME:MASTER%的雙臂…
先に普通のキスをする/ペニスにファーストキスしてほしい	先來個普通的親吻/讓陰莖成為她的初吻對象
%CALLNAME:TARGET%は[Ｖ性向]を得た	%CALLNAME:TARGET%獲得[Ｖ性向]
